"","Gender","Race","Year","pct","CrimeType","Arrested","Frisked","Searched","Weapon","HandCuff","PepperSpray","Firearm","Other","Stopped"
"1","Male","Black",2005,1,"Assault",0,1,0,0,0,0,0,1,2
"2","Female","Asian",2007,1,"Assault",0,1,0,0,0,0,0,1,1
"3","Male","Asian",2007,1,"Assault",2,2,2,0,4,0,0,3,8
"4","Female","Black",2007,1,"Assault",0,1,0,0,0,0,0,0,3
"5","Male","Black",2007,1,"Assault",8,17,8,0,7,0,3,9,35
"6","Female","Hispanic",2007,1,"Assault",0,0,0,0,0,0,0,0,2
"7","Male","Hispanic",2007,1,"Assault",3,5,2,0,0,0,0,3,18
"8","Male","Native",2007,1,"Assault",0,0,0,0,0,0,0,0,1
"9","Male","Other",2007,1,"Assault",0,1,0,0,0,0,0,0,1
"10","Female","White",2007,1,"Assault",1,1,0,0,1,0,0,0,2
"11","Male","White",2007,1,"Assault",1,11,3,0,5,0,1,6,15
"12","Female","Asian",2008,1,"Assault",0,0,0,0,0,0,0,1,1
"13","Male","Asian",2008,1,"Assault",0,5,1,0,1,0,0,2,6
"14","Female","Black",2008,1,"Assault",2,2,2,0,0,0,0,0,5
"15","Male","Black",2008,1,"Assault",6,33,9,0,11,0,0,22,53
"16","Female","Hispanic",2008,1,"Assault",1,1,1,0,1,0,0,0,1
"17","Male","Hispanic",2008,1,"Assault",0,13,1,0,1,0,2,10,22
"18","Male","Other",2008,1,"Assault",0,0,0,0,0,0,0,0,2
"19","Unknown","Other",2008,1,"Assault",1,0,1,0,0,0,0,1,1
"20","Female","White",2008,1,"Assault",0,0,0,0,0,0,0,0,3
"21","Male","White",2008,1,"Assault",1,8,2,0,3,0,0,3,13
"22","Female","Asian",2009,1,"Assault",0,2,0,0,0,0,0,0,2
"23","Male","Asian",2009,1,"Assault",0,5,0,2,3,0,0,5,9
"24","Female","Black",2009,1,"Assault",0,3,0,0,0,0,0,0,9
"25","Male","Black",2009,1,"Assault",0,22,0,0,3,0,0,12,43
"26","Male","Hispanic",2009,1,"Assault",5,15,4,0,8,0,4,10,25
