"","Gender","Race","Year","pct","CrimeType","Arrested","Frisked","Searched","HandCuff","PepperSpray","Firearm","Other","CEW","Stopped","Verbal","Summons"
"1","Male","Black",2005,1,"Assault",0,1,0,0,0,0,1,0,2,0,0
"22007","Female","Black",2005,1,"Theft",0,0,0,0,0,0,0,0,1,0,0
"22008","Male","Black",2005,1,"Theft",0,3,0,0,0,0,2,0,6,0,0
"22009","Male","Hispanic",2005,1,"Theft",0,0,0,0,0,0,0,0,1,0,0
"22010","Male","Other",2005,1,"Theft",0,0,0,0,0,0,0,0,1,0,0
"22011","Male","White",2005,1,"Theft",0,0,0,0,0,0,0,0,2,0,0
"31806","Male","Black",2005,1,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"31807","Male","Hispanic",2005,1,"Tresspass",0,0,0,0,0,0,0,0,1,0,0
"38938","Male","Black",2005,1,"Weapon",1,3,1,0,0,0,1,0,5,0,0
"38939","Male","White",2005,1,"Weapon",0,1,0,0,0,0,0,0,1,0,0
"79","Female","Hispanic",2005,5,"Assault",1,1,1,0,0,0,0,0,1,0,0
"80","Male","Hispanic",2005,5,"Assault",0,0,0,0,0,0,0,0,1,0,0
"81","Male","Other",2005,5,"Assault",0,2,0,0,0,0,1,0,3,0,1
"7407","Female","Hispanic",2005,5,"Other",1,1,1,0,0,0,0,0,1,0,0
"7408","Female","Other",2005,5,"Other",0,0,0,1,0,0,0,0,2,0,0
"7409","Male","Other",2005,5,"Other",0,1,0,1,0,0,0,0,3,0,0
"7410","Unknown","Other",2005,5,"Other",0,0,0,0,0,0,0,0,1,0,0
"7411","Male","White",2005,5,"Other",0,0,0,0,0,0,0,0,1,0,0
"7412","Unknown","White",2005,5,"Other",0,0,0,0,0,0,0,0,1,0,0
"14773","Female","Black",2005,5,"Substance",0,0,0,0,0,0,0,0,2,0,0
"14774","Male","Black",2005,5,"Substance",1,1,1,1,0,0,1,0,3,0,0
"14775","Female","Hispanic",2005,5,"Substance",0,0,0,0,0,0,0,0,1,0,0
"14776","Male","Hispanic",2005,5,"Substance",0,0,0,0,0,0,0,0,1,0,0
"22124","Female","Black",2005,5,"Theft",0,1,0,0,0,0,0,0,1,0,0
"22125","Male","Black",2005,5,"Theft",0,10,1,1,0,0,1,0,14,0,1
"22126","Male","Hispanic",2005,5,"Theft",0,8,1,2,0,0,2,0,9,0,0
"22127","Male","Other",2005,5,"Theft",0,4,0,0,0,0,2,0,11,0,2
"22128","Unknown","Other",2005,5,"Theft",0,1,0,0,0,0,0,0,1,0,0
"22129","Female","White",2005,5,"Theft",0,1,0,0,0,0,0,0,2,0,0
"22130","Male","White",2005,5,"Theft",1,3,1,0,0,0,0,0,7,0,0
"31861","Female","Black",2005,5,"Tresspass",1,1,0,1,0,0,1,0,3,0,0
"31862","Male","Black",2005,5,"Tresspass",5,1,4,1,0,0,0,0,22,0,0
"31863","Female","Hispanic",2005,5,"Tresspass",0,0,0,0,0,0,1,0,3,0,0
"31864","Male","Hispanic",2005,5,"Tresspass",4,4,3,3,0,0,1,0,15,0,0
"31865","Male","White",2005,5,"Tresspass",1,1,1,0,0,0,0,0,2,0,0
"39016","Male","Black",2005,5,"Weapon",0,6,2,0,0,0,0,0,7,0,0
"39017","Male","Hispanic",2005,5,"Weapon",1,2,2,1,0,0,1,0,2,0,0
"39018","Male","Other",2005,5,"Weapon",0,2,1,0,0,0,0,0,2,0,0
"39019","Male","White",2005,5,"Weapon",0,2,0,0,0,0,0,0,2,0,0
"22256","Male","Black",2005,6,"Theft",0,3,0,0,0,0,5,0,6,0,0
"22257","Male","White",2005,6,"Theft",0,0,0,1,0,0,0,0,1,0,0
"39119","Male","Hispanic",2005,6,"Weapon",0,1,0,0,0,0,1,0,1,0,0
"291","Male","Black",2005,7,"Assault",0,2,0,0,0,0,1,0,3,0,0
"292","Female","Hispanic",2005,7,"Assault",0,1,0,0,0,0,0,0,1,0,0
"293","Male","Hispanic",2005,7,"Assault",1,2,1,0,0,0,1,0,3,0,0
