"","Gender","Race","Year","pct","CrimeType","Arrested","Frisked","Searched","Weapon","HandCuff","PepperSpray","Firearm","Other","CEW","Instruction","Stopped"
"1","Male","Black",2006,1,"Assault",5,4,2,0,1,0,0,2,0,0,5
"2","Male","Hispanic",2006,1,"Assault",1,1,0,0,0,0,0,1,0,0,1
"3","Male","Asian",2007,1,"Assault",2,1,2,0,0,0,0,0,0,0,2
"4","Male","Black",2007,1,"Assault",8,8,7,0,4,0,2,5,0,0,8
"5","Male","Hispanic",2007,1,"Assault",3,2,2,0,0,0,0,0,0,0,3
"6","Female","White",2007,1,"Assault",1,1,0,0,1,0,0,0,0,0,1
"7","Male","White",2007,1,"Assault",1,1,0,0,0,0,0,0,0,0,1
"8","Female","Black",2008,1,"Assault",2,2,2,0,0,0,0,0,0,0,2
"9","Male","Black",2008,1,"Assault",6,6,4,0,1,0,0,2,0,0,6
"10","Female","Hispanic",2008,1,"Assault",1,1,1,0,1,0,0,0,0,0,1
"11","Unknown","Other",2008,1,"Assault",1,0,1,0,0,0,0,1,0,0,1
"12","Male","White",2008,1,"Assault",1,0,1,0,1,0,0,0,0,0,1
"13","Male","Hispanic",2009,1,"Assault",5,5,4,0,5,0,4,4,0,0,5
"14","Female","Other",2009,1,"Assault",1,1,0,0,0,0,0,1,0,0,1
"15","Male","Other",2009,1,"Assault",1,1,1,0,1,0,1,1,0,0,1
"16","Male","White",2009,1,"Assault",2,2,2,0,2,0,2,2,0,0,2
"17","Female","Asian",2010,1,"Assault",1,1,1,0,1,0,0,1,0,0,1
"18","Male","Asian",2010,1,"Assault",1,1,1,0,0,0,0,0,0,0,1
"19","Male","Black",2010,1,"Assault",2,2,1,0,1,0,0,1,0,0,2
"20","Male","Hispanic",2010,1,"Assault",2,2,2,0,1,0,0,1,0,0,2
"21","Male","Native",2010,1,"Assault",1,1,1,0,0,0,0,0,0,0,1
"22","Female","White",2010,1,"Assault",1,0,1,0,1,0,0,0,0,0,1
"23","Male","White",2010,1,"Assault",3,3,2,0,1,0,0,1,0,0,3
"24","Female","Hispanic",2005,5,"Assault",1,1,1,0,0,0,0,0,0,0,1
"25","Female","Asian",2006,5,"Assault",5,5,0,0,0,0,0,5,0,0,5
"26","Male","Asian",2006,5,"Assault",6,6,4,0,4,0,0,3,0,0,6
"27","Unknown","Asian",2006,5,"Assault",1,1,0,0,0,0,0,1,0,0,1
"28","Male","Black",2006,5,"Assault",6,4,2,0,3,0,0,4,0,0,6
"29","Male","Hispanic",2006,5,"Assault",6,6,5,0,3,0,0,4,0,0,6
"30","Male","Other",2006,5,"Assault",2,2,1,0,2,0,0,0,0,0,2
"31","Unknown","Other",2006,5,"Assault",1,0,0,0,0,0,0,0,0,0,1
"32","Female","White",2006,5,"Assault",1,0,0,0,0,0,0,0,0,0,1
"33","Male","White",2006,5,"Assault",5,3,2,0,3,0,0,3,0,0,5
"34","Male","Asian",2007,5,"Assault",7,5,7,0,6,0,0,2,0,0,7
"35","Male","Black",2007,5,"Assault",3,2,3,0,2,0,0,2,0,0,3
"36","Male","Hispanic",2007,5,"Assault",9,8,6,0,6,0,0,3,0,0,9
"37","Male","Native",2007,5,"Assault",3,2,0,0,0,0,0,3,0,0,3
"38","Male","White",2007,5,"Assault",2,2,2,0,2,0,0,0,0,0,2
"39","Male","Asian",2008,5,"Assault",3,3,3,0,2,0,0,3,0,0,3
"40","Male","Black",2008,5,"Assault",10,7,3,0,2,0,0,1,0,0,10
"41","Female","Hispanic",2008,5,"Assault",1,1,1,0,1,0,0,1,0,0,1
"42","Male","Hispanic",2008,5,"Assault",4,4,2,0,1,0,0,2,0,0,4
"43","Male","Other",2008,5,"Assault",3,1,1,0,1,0,0,1,0,0,3
"44","Male","White",2008,5,"Assault",1,1,0,0,0,0,0,0,0,0,1
"45","Male","Asian",2009,5,"Assault",5,2,2,0,2,0,0,2,0,0,5
"46","Male","Black",2009,5,"Assault",6,3,1,0,2,0,0,0,0,0,6
"47","Male","Hispanic",2009,5,"Assault",7,4,3,0,3,0,0,4,0,0,7
"48","Unknown","Other",2009,5,"Assault",1,0,0,0,0,0,0,0,0,0,1
"49","Male","Asian",2010,5,"Assault",1,1,0,0,0,0,0,1,0,0,1
"50","Male","Black",2010,5,"Assault",2,1,0,0,0,0,0,0,0,0,2
"51","Male","Hispanic",2010,5,"Assault",7,7,3,0,2,0,0,1,0,0,7
"52","Male","Other",2010,5,"Assault",1,1,0,0,1,0,0,1,0,0,1
"53","Female","Black",2006,6,"Assault",5,4,4,0,4,0,0,0,0,0,5
"54","Male","Black",2006,6,"Assault",7,7,7,0,4,0,0,2,0,0,7
"55","Female","Hispanic",2006,6,"Assault",1,1,1,0,0,0,0,0,0,0,1
"56","Male","Hispanic",2006,6,"Assault",4,4,4,0,3,0,0,2,0,0,4
"57","Male","Other",2006,6,"Assault",1,1,1,0,0,0,0,0,0,0,1
"58","Male","White",2006,6,"Assault",3,3,2,0,3,0,0,0,0,0,3
"59","Male","Asian",2007,6,"Assault",2,1,1,0,0,0,0,0,0,0,2
"60","Male","Black",2007,6,"Assault",5,5,5,0,4,0,0,3,0,0,5
"61","Female","Hispanic",2007,6,"Assault",1,1,1,0,0,0,0,0,0,0,1
"62","Male","Hispanic",2007,6,"Assault",2,2,2,0,1,0,0,1,0,0,2
"63","Female","White",2007,6,"Assault",1,1,1,0,1,0,0,0,0,0,1
"64","Male","White",2007,6,"Assault",15,14,12,0,6,0,0,9,0,0,15
"65","Male","Asian",2008,6,"Assault",1,0,0,0,0,0,0,0,0,0,1
"66","Male","Black",2008,6,"Assault",12,10,10,0,5,0,1,4,0,0,12
"67","Female","Hispanic",2008,6,"Assault",1,1,1,0,1,0,0,1,0,0,1
"68","Male","Hispanic",2008,6,"Assault",6,5,4,0,3,0,0,2,0,0,6
"69","Female","White",2008,6,"Assault",2,2,2,0,2,0,0,0,0,0,2
"70","Male","White",2008,6,"Assault",8,7,7,0,5,0,0,4,0,0,8
"71","Male","Asian",2009,6,"Assault",1,1,1,0,1,0,0,1,0,0,1
"72","Female","Black",2009,6,"Assault",1,0,0,0,0,0,0,0,0,0,1
"73","Male","Black",2009,6,"Assault",8,7,5,0,3,0,0,4,0,0,8
"74","Female","Hispanic",2009,6,"Assault",2,2,2,0,2,0,0,2,0,0,2
"75","Male","Hispanic",2009,6,"Assault",3,3,3,0,3,0,0,3,0,0,3
"76","Male","Other",2009,6,"Assault",1,1,1,0,0,0,0,0,0,0,1
"77","Male","White",2009,6,"Assault",5,4,4,0,4,0,0,3,0,0,5
"78","Male","Black",2010,6,"Assault",4,3,2,0,0,0,1,2,0,0,4
"79","Female","Hispanic",2010,6,"Assault",1,1,1,0,1,0,0,0,0,0,1
"80","Male","Hispanic",2010,6,"Assault",3,3,1,0,1,0,1,2,0,0,3
"81","Unknown","Hispanic",2010,6,"Assault",1,1,1,0,1,0,0,0,0,0,1
"82","Female","White",2010,6,"Assault",1,1,1,0,1,0,0,0,0,0,1
"83","Male","White",2010,6,"Assault",7,3,2,0,3,0,0,2,0,0,7
"84","Male","Hispanic",2005,7,"Assault",1,1,1,0,0,0,0,0,0,0,1
"85","Female","Black",2006,7,"Assault",1,1,1,0,1,0,0,1,0,0,1
"86","Male","Black",2006,7,"Assault",8,8,8,0,3,0,0,4,0,0,8
"87","Male","Hispanic",2006,7,"Assault",10,10,9,1,2,0,1,4,0,0,10
"88","Male","White",2006,7,"Assault",3,3,1,0,3,0,0,2,0,0,3
"89","Male","Black",2007,7,"Assault",10,7,3,0,3,0,1,4,0,0,10
"90","Male","Hispanic",2007,7,"Assault",6,5,3,0,2,0,0,2,0,0,6
"91","Male","Other",2007,7,"Assault",2,1,2,0,1,0,0,1,0,0,2
"92","Female","White",2007,7,"Assault",1,1,1,0,0,0,0,0,0,0,1
"93","Male","White",2007,7,"Assault",6,3,2,0,2,0,0,0,0,0,6
"94","Female","Black",2008,7,"Assault",1,1,1,0,0,0,0,0,0,0,1
"95","Male","Black",2008,7,"Assault",9,7,1,0,5,0,0,7,0,0,9
"96","Female","Hispanic",2008,7,"Assault",1,1,1,0,0,0,0,0,0,0,1
"97","Male","Hispanic",2008,7,"Assault",6,5,4,0,2,0,0,1,0,0,6
"98","Male","Other",2008,7,"Assault",1,0,0,0,0,0,0,0,0,0,1
"99","Female","White",2008,7,"Assault",1,1,1,0,0,0,0,0,0,0,1
"100","Male","White",2008,7,"Assault",4,3,1,0,2,0,1,2,0,0,4
"101","Female","Black",2009,7,"Assault",2,1,0,0,1,0,0,0,0,0,2
"102","Male","Black",2009,7,"Assault",6,3,3,0,1,0,1,3,0,0,6
"103","Female","Hispanic",2009,7,"Assault",2,2,1,0,1,0,0,0,0,0,2
"104","Male","Hispanic",2009,7,"Assault",7,7,2,0,3,0,0,1,0,0,7
"105","Male","Other",2009,7,"Assault",1,1,1,0,0,0,0,0,0,0,1
"106","Unknown","Other",2009,7,"Assault",1,1,0,0,0,0,0,1,0,0,1
"107","Male","White",2009,7,"Assault",3,2,1,0,2,2,0,2,0,0,3
"108","Male","Black",2010,7,"Assault",5,5,4,0,3,0,1,3,0,0,5
"109","Male","Hispanic",2010,7,"Assault",6,6,3,0,2,0,0,3,0,0,6
"110","Unknown","Other",2010,7,"Assault",1,1,1,0,0,0,0,1,0,0,1
"111","Male","White",2010,7,"Assault",4,3,3,0,3,0,0,3,0,0,4
"112","Male","Black",2005,9,"Assault",1,1,1,0,0,0,0,0,0,0,1
"113","Male","Hispanic",2005,9,"Assault",1,1,1,0,0,0,0,0,0,0,1
"114","Male","Black",2006,9,"Assault",11,10,9,0,5,1,0,3,0,0,11
"115","Female","Hispanic",2006,9,"Assault",2,2,2,0,2,0,0,0,0,0,2
"116","Male","Hispanic",2006,9,"Assault",18,14,10,0,5,1,0,3,0,0,18
"117","Male","White",2006,9,"Assault",9,8,6,0,3,2,0,3,0,0,9
"118","Female","Asian",2007,9,"Assault",1,1,1,0,1,0,0,0,0,0,1
"119","Male","Black",2007,9,"Assault",10,9,7,0,8,0,0,3,0,0,10
