"","Gender","Race","Year","pct","CrimeType","Arrested","Frisked","Searched","Weapon","HandCuff","PepperSpray","Firearm","Other","CEW","Instruction","Stopped"
"1","Male","Black",2005,1,"Assault",0,1,0,0,0,0,0,1,0,0,2
"2","Male","Asian",2006,1,"Assault",0,2,0,0,0,0,0,0,0,0,7
"3","Female","Black",2006,1,"Assault",0,1,0,0,0,0,0,1,0,0,3
"4","Male","Black",2006,1,"Assault",5,19,5,0,8,1,0,10,0,0,37
"5","Female","Hispanic",2006,1,"Assault",0,0,0,0,0,0,0,0,0,0,1
"6","Male","Hispanic",2006,1,"Assault",1,14,1,0,6,0,0,6,0,0,23
"7","Male","Other",2006,1,"Assault",0,0,0,0,0,0,0,2,0,0,2
"8","Male","White",2006,1,"Assault",0,15,2,0,2,0,0,14,0,0,24
"9","Female","Asian",2007,1,"Assault",0,1,0,0,0,0,0,1,0,0,1
"10","Male","Asian",2007,1,"Assault",2,2,2,0,4,0,0,3,0,0,8
"11","Female","Black",2007,1,"Assault",0,1,0,0,0,0,0,0,0,0,3
"12","Male","Black",2007,1,"Assault",8,17,8,0,7,0,3,9,0,0,35
"13","Female","Hispanic",2007,1,"Assault",0,0,0,0,0,0,0,0,0,0,2
"14","Male","Hispanic",2007,1,"Assault",3,5,2,0,0,0,0,3,0,0,18
"15","Male","Native",2007,1,"Assault",0,0,0,0,0,0,0,0,0,0,1
"16","Male","Other",2007,1,"Assault",0,1,0,0,0,0,0,0,0,0,1
"17","Female","White",2007,1,"Assault",1,1,0,0,1,0,0,0,0,0,2
"18","Male","White",2007,1,"Assault",1,11,3,0,5,0,1,6,0,0,15
"19","Female","Asian",2008,1,"Assault",0,0,0,0,0,0,0,1,0,0,1
"20","Male","Asian",2008,1,"Assault",0,5,1,0,1,0,0,2,0,0,6
"21","Female","Black",2008,1,"Assault",2,2,2,0,0,0,0,0,0,0,5
"22","Male","Black",2008,1,"Assault",6,33,9,0,11,0,0,22,0,0,53
"23","Female","Hispanic",2008,1,"Assault",1,1,1,0,1,0,0,0,0,0,1
"24","Male","Hispanic",2008,1,"Assault",0,13,1,0,1,0,2,10,0,0,22
"25","Male","Other",2008,1,"Assault",0,0,0,0,0,0,0,0,0,0,2
"26","Unknown","Other",2008,1,"Assault",1,0,1,0,0,0,0,1,0,0,1
"27","Female","White",2008,1,"Assault",0,0,0,0,0,0,0,0,0,0,3
"28","Male","White",2008,1,"Assault",1,8,2,0,3,0,0,3,0,0,13
"29","Female","Asian",2009,1,"Assault",0,2,0,0,0,0,0,0,0,0,2
"30","Male","Asian",2009,1,"Assault",0,5,0,2,3,0,0,5,0,0,9
"31","Female","Black",2009,1,"Assault",0,3,0,0,0,0,0,0,0,0,9
"32","Male","Black",2009,1,"Assault",0,22,0,0,3,0,0,12,0,0,43
"33","Male","Hispanic",2009,1,"Assault",5,15,4,0,8,0,4,10,0,0,25
"34","Female","Other",2009,1,"Assault",1,2,0,0,0,0,0,1,0,0,2
"35","Male","Other",2009,1,"Assault",1,5,1,0,1,0,1,5,0,0,7
"36","Female","White",2009,1,"Assault",0,7,0,0,0,0,0,0,0,0,7
"37","Male","White",2009,1,"Assault",2,18,3,0,5,0,3,10,0,0,34
"38","Female","Asian",2010,1,"Assault",1,1,1,0,1,0,0,1,0,0,2
"39","Male","Asian",2010,1,"Assault",2,2,2,0,0,0,0,3,0,0,12
"40","Female","Black",2010,1,"Assault",0,0,0,0,0,0,0,0,0,0,3
"41","Male","Black",2010,1,"Assault",6,25,4,0,6,0,1,15,0,0,45
"42","Female","Hispanic",2010,1,"Assault",0,0,0,0,1,0,0,1,0,0,4
"43","Male","Hispanic",2010,1,"Assault",7,11,6,0,3,0,2,9,0,0,28
"44","Male","Native",2010,1,"Assault",2,4,2,0,1,0,0,3,0,0,4
"45","Male","Other",2010,1,"Assault",0,1,0,0,1,0,0,0,0,0,1
"46","Female","White",2010,1,"Assault",1,0,1,0,1,0,0,0,0,0,3
"47","Male","White",2010,1,"Assault",8,18,7,0,6,0,0,14,0,0,37
"48","Female","Asian",2011,1,"Assault",0,0,0,0,0,0,0,0,0,0,2
"49","Male","Asian",2011,1,"Assault",2,3,2,0,2,1,0,5,0,0,12
"50","Female","Black",2011,1,"Assault",1,0,1,0,5,0,0,1,0,0,10
"51","Male","Black",2011,1,"Assault",12,26,10,0,9,0,0,24,0,0,62
"52","Female","Hispanic",2011,1,"Assault",1,1,0,0,1,0,0,2,0,0,5
"53","Male","Hispanic",2011,1,"Assault",1,13,1,0,3,0,0,9,0,0,27
"54","Male","Native",2011,1,"Assault",0,0,0,0,0,0,0,0,0,0,1
"55","Female","White",2011,1,"Assault",0,0,0,0,1,0,0,1,0,0,3
"56","Male","White",2011,1,"Assault",3,22,3,0,6,0,4,19,0,0,44
"57","Male","Asian",2012,1,"Assault",0,1,0,0,1,0,0,0,0,0,7
"58","Female","Black",2012,1,"Assault",1,4,0,0,1,0,0,2,0,0,13
"59","Male","Black",2012,1,"Assault",6,13,4,0,3,0,1,5,0,0,34
"60","Female","Hispanic",2012,1,"Assault",0,3,1,0,2,0,0,3,0,0,9
"61","Male","Hispanic",2012,1,"Assault",0,2,0,0,1,0,0,0,0,0,19
"62","Male","Native",2012,1,"Assault",0,0,0,0,0,0,0,0,0,0,2
"63","Unknown","Other",2012,1,"Assault",0,0,0,0,0,0,0,0,0,0,1
"64","Male","White",2012,1,"Assault",0,5,2,0,1,0,0,6,0,0,18
"65","Female","Black",2013,1,"Assault",0,2,0,0,1,0,0,0,0,0,5
"66","Male","Black",2013,1,"Assault",4,10,1,0,7,0,0,4,0,0,17
"67","Male","Hispanic",2013,1,"Assault",1,7,3,0,2,0,1,3,0,0,12
"68","Male","White",2013,1,"Assault",0,1,0,0,0,0,0,1,0,0,2
"69","Male","Black",2014,1,"Assault",1,2,1,0,2,0,0,2,0,0,4
"70","Male","Hispanic",2014,1,"Assault",0,4,1,0,1,0,0,1,0,0,4
"71","Female","Black",2015,1,"Assault",0,1,1,0,1,0,0,0,0,0,1
