"","Precinct","Population","Area","White","Black","Native","AsPac","Hisp","Year","AsPacA","BlackA","HispA","NativeA","WhiteA","TotalA"
"1",1,66679,1.6222942931026,47231,1982,57,10543,4676,2005,0,1,0,0,0,1
"2",1,66679,1.6222942931026,47231,1982,57,10543,4676,2006,0,35,10,0,1,46
"3",1,66679,1.6222942931026,47231,1982,57,10543,4676,2007,5,78,21,1,11,117
"4",1,66679,1.6222942931026,47231,1982,57,10543,4676,2008,4,156,39,0,20,221
"5",1,66679,1.6222942931026,47231,1982,57,10543,4676,2009,10,163,45,1,15,238
"6",1,66679,1.6222942931026,47231,1982,57,10543,4676,2010,12,156,56,2,33,260
"7",1,66679,1.6222942931026,47231,1982,57,10543,4676,2011,6,135,45,1,27,215
"8",1,66679,1.6222942931026,47231,1982,57,10543,4676,2012,4,129,30,0,26,189
"9",1,66679,1.6222942931026,47231,1982,57,10543,4676,2013,7,43,21,0,22,93
"10",1,66679,1.6222942931026,47231,1982,57,10543,4676,2014,0,9,2,0,0,11
"11",1,66679,1.6222942931026,47231,1982,57,10543,4676,2015,0,4,0,0,0,4
"12",1,66679,1.6222942931026,47231,1982,57,10543,4676,2016,0,4,0,1,2,7
"13",1,66679,1.6222942931026,47231,1982,57,10543,4676,2017,0,2,3,0,1,6
"14",1,66679,1.6222942931026,47231,1982,57,10543,4676,2018,0,16,6,0,4,26
"15",5,52568,0.621884421912021,10739,2299,33,32721,5910,2005,0,7,7,0,2,16
"16",5,52568,0.621884421912021,10739,2299,33,32721,5910,2006,27,123,104,1,43,309
"17",5,52568,0.621884421912021,10739,2299,33,32721,5910,2007,28,97,85,4,32,258
"18",5,52568,0.621884421912021,10739,2299,33,32721,5910,2008,44,113,84,0,27,286
"19",5,52568,0.621884421912021,10739,2299,33,32721,5910,2009,22,91,77,0,25,234
"20",5,52568,0.621884421912021,10739,2299,33,32721,5910,2010,54,127,117,0,28,340
"21",5,52568,0.621884421912021,10739,2299,33,32721,5910,2011,36,148,125,1,44,372
"22",5,52568,0.621884421912021,10739,2299,33,32721,5910,2012,39,120,82,1,34,304
"23",5,52568,0.621884421912021,10739,2299,33,32721,5910,2013,10,49,45,0,13,122
"24",5,52568,0.621884421912021,10739,2299,33,32721,5910,2014,0,30,22,0,7,60
"25",5,52568,0.621884421912021,10739,2299,33,32721,5910,2015,0,15,10,0,2,27
"26",5,52568,0.621884421912021,10739,2299,33,32721,5910,2016,3,9,10,0,1,24
"27",5,52568,0.621884421912021,10739,2299,33,32721,5910,2017,7,14,25,0,4,50
"28",5,52568,0.621884421912021,10739,2299,33,32721,5910,2018,0,12,8,0,2,22
"29",6,62226,0.760844327786797,50468,1214,47,5003,3781,2005,0,0,0,0,0,0
"30",6,62226,0.760844327786797,50468,1214,47,5003,3781,2006,2,65,33,0,37,139
"31",6,62226,0.760844327786797,50468,1214,47,5003,3781,2007,3,110,26,0,50,193
"32",6,62226,0.760844327786797,50468,1214,47,5003,3781,2008,9,117,40,0,45,216
"33",6,62226,0.760844327786797,50468,1214,47,5003,3781,2009,6,79,39,1,34,163
"34",6,62226,0.760844327786797,50468,1214,47,5003,3781,2010,5,135,54,0,65,265
"35",6,62226,0.760844327786797,50468,1214,47,5003,3781,2011,7,123,39,0,46,222
"36",6,62226,0.760844327786797,50468,1214,47,5003,3781,2012,2,112,46,0,37,200
"37",6,62226,0.760844327786797,50468,1214,47,5003,3781,2013,2,49,23,0,25,103
"38",6,62226,0.760844327786797,50468,1214,47,5003,3781,2014,0,10,2,0,0,12
"39",6,62226,0.760844327786797,50468,1214,47,5003,3781,2015,0,3,0,0,0,3
"40",6,62226,0.760844327786797,50468,1214,47,5003,3781,2016,0,6,4,0,1,11
"41",6,62226,0.760844327786797,50468,1214,47,5003,3781,2017,0,11,2,0,3,16
"42",6,62226,0.760844327786797,50468,1214,47,5003,3781,2018,3,32,14,0,12,61
"43",7,56355,0.631324045885591,13479,4578,95,19202,17976,2005,0,10,11,0,6,27
"44",7,56355,0.631324045885591,13479,4578,95,19202,17976,2006,16,139,190,0,96,459
"45",7,56355,0.631324045885591,13479,4578,95,19202,17976,2007,20,195,261,1,105,598
"46",7,56355,0.631324045885591,13479,4578,95,19202,17976,2008,19,140,165,1,80,414
"47",7,56355,0.631324045885591,13479,4578,95,19202,17976,2009,20,105,159,3,67,365
"48",7,56355,0.631324045885591,13479,4578,95,19202,17976,2010,15,125,192,0,53,418
"49",7,56355,0.631324045885591,13479,4578,95,19202,17976,2011,18,151,235,0,71,494
"50",7,56355,0.631324045885591,13479,4578,95,19202,17976,2012,11,129,169,1,55,382
"51",7,56355,0.631324045885591,13479,4578,95,19202,17976,2013,10,82,91,0,19,207
"52",7,56355,0.631324045885591,13479,4578,95,19202,17976,2014,1,30,48,1,5,88
"53",7,56355,0.631324045885591,13479,4578,95,19202,17976,2015,0,6,20,0,3,29
"54",7,56355,0.631324045885591,13479,4578,95,19202,17976,2016,1,8,9,0,3,21
"55",7,56355,0.631324045885591,13479,4578,95,19202,17976,2017,0,28,17,0,6,52
"56",7,56355,0.631324045885591,13479,4578,95,19202,17976,2018,2,11,21,0,3,37
"57",9,76443,0.735654188786664,39560,5466,127,10859,18291,2005,0,11,13,0,0,25
"58",9,76443,0.735654188786664,39560,5466,127,10859,18291,2006,8,158,168,0,70,415
"59",9,76443,0.735654188786664,39560,5466,127,10859,18291,2007,6,142,216,0,131,504
"60",9,76443,0.735654188786664,39560,5466,127,10859,18291,2008,13,145,214,1,123,506
"61",9,76443,0.735654188786664,39560,5466,127,10859,18291,2009,13,173,252,0,112,565
"62",9,76443,0.735654188786664,39560,5466,127,10859,18291,2010,14,252,267,1,180,748
"63",9,76443,0.735654188786664,39560,5466,127,10859,18291,2011,32,259,307,1,252,895
"64",9,76443,0.735654188786664,39560,5466,127,10859,18291,2012,37,287,386,1,266,1008
"65",9,76443,0.735654188786664,39560,5466,127,10859,18291,2013,15,183,207,0,158,571
"66",9,76443,0.735654188786664,39560,5466,127,10859,18291,2014,17,84,100,0,74,291
"67",9,76443,0.735654188786664,39560,5466,127,10859,18291,2015,6,29,52,0,7,94
"68",9,76443,0.735654188786664,39560,5466,127,10859,18291,2016,0,15,15,0,2,32
"69",9,76443,0.735654188786664,39560,5466,127,10859,18291,2017,0,31,38,0,9,79
"70",9,76443,0.735654188786664,39560,5466,127,10859,18291,2018,1,18,14,0,4,37
"71",10,50180,0.93621711258156,30799,3518,71,5616,8821,2005,0,10,5,0,4,19
"72",10,50180,0.93621711258156,30799,3518,71,5616,8821,2006,3,121,79,1,52,257
"73",10,50180,0.93621711258156,30799,3518,71,5616,8821,2007,2,121,83,1,55,265
"74",10,50180,0.93621711258156,30799,3518,71,5616,8821,2008,8,146,105,1,68,333
"75",10,50180,0.93621711258156,30799,3518,71,5616,8821,2009,7,145,76,3,50,289
"76",10,50180,0.93621711258156,30799,3518,71,5616,8821,2010,18,146,83,1,81,343
"77",10,50180,0.93621711258156,30799,3518,71,5616,8821,2011,8,142,89,1,59,309
"78",10,50180,0.93621711258156,30799,3518,71,5616,8821,2012,3,143,70,3,45,277
"79",10,50180,0.93621711258156,30799,3518,71,5616,8821,2013,5,92,57,0,37,194
"80",10,50180,0.93621711258156,30799,3518,71,5616,8821,2014,0,24,17,0,4,45
